R,M
16.632,0.11388803790842045
16.336,0.11728017916272357
16.064,0.12076400392891709
15.814,0.12434192404758027
15.583,0.1280149823310365
15.37,0.1317866974629322
15.173,0.13565721128711955
14.991,0.1396309907035505
14.822,0.14370751934892734
14.665,0.1478918165659023
14.52,0.15218351530806618
14.386,0.15658692935353558
14.261,0.1611018946662083
14.145,0.16573320950048928
14.037,0.1704807864553272
13.938,0.1753489104719803
13.845,0.18033751336502035
13.759,0.1854515805010208
13.68,0.19069131319110819
13.606,0.19606068135008398
13.538,0.2015605851659161
13.475,0.2071946503997637
13.417,0.21296432832676376
13.363,0.21887228679007004
13.314,0.22492145184837833
13.268,0.23111301972420237
13.227,0.23745058219709927
13.189,0.24393543325532913
13.154,0.25057028693297073
13.123,0.2573580511518781
13.094,0.2642996700588273
13.069,0.2713988500988806
13.046,0.278656556666038
13.025,0.28607419725691874
13.007,0.29365395816385526
12.992,0.3013955074694685
12.978,0.30929983205308015
12.967,0.31736854824935007
12.957,0.32560074935701383
12.949,0.33399792073671736
12.943,0.34256113051285736
12.939,0.35129172666423675
12.936,0.36019136837906574
12.934,0.3692609195035308
12.934,0.3785025595484523
12.935,0.3879172579403745
12.937,0.3975063335943601
12.94,0.40727106644831906
12.945,0.41721250442077296
12.95,0.42733168528526966
12.956,0.43762993557431773
12.963,0.44810830143111713
12.971,0.4587676583142531
12.98,0.4696083445858449
12.989,0.480632046704543
12.999,0.49183853776066144
13.009,0.5032291271043289
13.02,0.5148039416187797
13.032,0.5265633486378257
13.044,0.5385077940464565
13.056,0.5506372595472221
13.069,0.562951936989364
13.083,0.5754517443932607
13.096,0.5881361318214662
13.11,0.601005055276491
13.124,0.6140581841151497
13.138,0.6272943863601252
13.152,0.6407133837618229
13.167,0.6543140870281872
13.181,0.6680952707142588
13.196,0.6820556904038063
13.211,0.6961943723802482
13.225,0.7105089562915705
13.24,0.724998363092074
13.255,0.7396602911403017
13.269,0.754492420617111
13.284,0.7694926501717159
13.298,0.7846584996473815
13.313,0.7999873389470371
13.327,0.8154759096849665
13.341,0.8311213270516861
13.355,0.8469203295697622
13.368,0.8628692034457941
13.381,0.8789643359007193
13.394,0.895201913297132
13.407,0.9115775973529631
13.419,0.9280870874347238
13.431,0.9447258866630177
13.443,0.9614893328716667
13.454,0.9783722091208176
13.465,0.9953694498149922
13.476,1.0124757518856913
13.486,1.0296855224332433
13.496,1.0469928449337738
13.505,1.0643919436470914
13.513,1.0818762056613032
13.522,1.0994396609970947
13.529,1.1170755573371587
13.536,1.1347771264893312
13.543,1.1525376789959756
13.549,1.1703497706354689
13.555,1.1882062171521246
13.56,1.2060996825049541
13.564,1.2240224913967086
13.568,1.2419669213120013
13.571,1.2599250424625519
13.573,1.2778888903131487
13.575,1.295850155310973
13.576,1.3138008821579235
13.577,1.3317324092034817
13.577,1.349636294723904
13.576,1.3675041262704042
13.574,1.3853271234211024
13.572,1.403096559325082
13.569,1.420803932572835
13.565,1.438440176346952
13.561,1.4559964452874392
13.556,1.4734640562113863
13.55,1.4908340647831788
13.543,1.5080975352049242
13.536,1.5252456357685933
13.528,1.542269519230511
13.519,1.5591604308546694
13.509,1.5759095934513638
13.499,1.5925084361027066
13.488,1.6089481695575862
13.476,1.6252203039493456
13.463,1.6413165317230702
13.45,1.6572284937055426
13.436,1.6729479762065644
13.421,1.6884668659204232
13.405,1.7037773867051242
13.388,1.7188715651359854
13.371,1.733741977799111
13.353,1.7483816147100817
13.335,1.7627824540508987
13.315,1.7769331991123005
13.295,1.7908097885857186
13.274,1.8043840508858964
13.252,1.8176421888999401
13.23,1.8305746107483705
13.207,1.8431738566142581
13.183,1.8554342610724073
13.158,1.867351520556831
13.133,1.878922320635282
13.106,1.8901442408942681
13.08,1.9010156974555241
13.052,1.9115354395001813
13.024,1.9217029478743644
12.995,1.931517883743921
12.965,1.9409805064747887
12.934,1.950091233928286
12.903,1.9588510118052127
12.872,1.9672607820098167
12.839,1.9753219184717863
12.806,1.9830356122844413
12.773,1.9904009730825578
12.738,1.9974162837448775
12.704,2.0040821889948335
12.668,2.010400322852254
12.632,2.016372874877597
12.596,2.022002584738936
12.559,2.0272923330775643
12.521,2.032245480837184
12.483,2.0368652479707174
12.445,2.0411554266667267
12.406,2.045119587289471
12.367,2.048761676426224
12.327,2.0520856401884267
12.287,2.055095484895748
12.246,2.0577953818853785
12.205,2.0601894817010398
12.164,2.062282061418515
12.122,2.0640774569245193
12.08,2.065580018774719
12.038,2.0667941518244093
11.995,2.067724283747939
11.953,2.0683750300372594
11.909,2.0687508141854734
11.866,2.0688562418092076
11.823,2.0686959301754397
11.779,2.0682744981167636
11.735,2.06759657794862
11.691,2.066666920320212
11.646,2.0654901285079386
11.602,2.0640710343054662
11.557,2.062414311280106
11.512,2.060524751955239
11.468,2.058407108786051
11.423,2.056066158303195
11.378,2.053506767671339
11.333,2.0507336492393735
11.288,2.047751673465305
11.243,2.0445656281491265
11.198,2.0411803379360043
11.152,2.037600622482019
11.107,2.033831301675097
11.062,2.029877189350606
11.017,2.0257431008506774
10.972,2.0214338684855333
