P0,R,M
0.9999999999999986,30.253,0.11283825811823514
1.03136211013816,29.12,0.11479737202951466
1.0637078022286433,28.079,0.11681891878569467
1.0970679234769596,27.12,0.11890398980629667
1.131474288522088,26.235,0.12105371371032062
1.1669597097772157,25.415,0.12326913183601454
1.20355802872205,24.656,0.12555114119112923
1.2413041481764995,23.951,0.12790038161775044
1.2802340655865674,23.295,0.1303173173758257
1.3203849073541196,22.684,0.1328024469855986
1.3617949642433302,22.115,0.1353565394847317
1.4045037278975232,21.582,0.1379806771542944
1.4485519285013035,21.084,0.14067606691851586
1.4939815736238078,20.618,0.14344390869831183
1.5408359882801868,20.18,0.14628543441577263
1.5891598562494729,19.769,0.14920194172997556
1.6389992626883136,19.383,0.15219478691827565
1.6904017380811098,19.019,0.15526534677964265
1.7434163035685553,18.677,0.1584150373366557
1.7980935176977388,18.353,0.16164530441260827
1.8544855246384893,18.048,0.16495761032916764
1.9126461039118277,17.76,0.16835343873790728
1.9726307216780428,17.488,0.17183428287913624
2.03449658363323,17.23,0.17540166619697561
2.0983026895648487,16.986,0.1790571715835227
2.164109889618182,16.754,0.1828024187390522
2.2319809423274797,16.535,0.18663902996064702
2.3019805744670316,16.327,0.19056862428006924
2.374175542779375,16.13,0.1945928019801072
2.448634697639351,15.943,0.1987131837423154
2.5254290487148485,15.765,0.20293141153609362
2.604631832686756,15.596,0.20724914671308456
2.6863185830928393,15.435,0.21166803332062295
2.7705672023619865,15.286,0.21608418903754645
2.8574580361076514,15.149,0.22040020533211083
2.947073949751234,15.021,0.2246193062211601
3.0395004075486387,14.903,0.22874443533651845
3.134825554095165,14.793,0.23277831975588176
3.2331402983866324,14.689,0.23672351608248238
3.3345384005167618,14.591,0.24058242485272793
3.4391165610936976,14.498,0.24435731171423877
3.546974513460693,14.409,0.24805029759730804
3.6582151188091117,14.325,0.25166340136894666
3.772944464274291,14.244,0.2551985560922308
3.8912719641080273,14.166,0.2586576287769516
4.013310464023923,14.091,0.26204235466865167
4.139176348815291,14.018,0.2653543790014783
4.26898965334811,13.948,0.268595330952604
4.402874177035085,13.88,0.27176675769440073
4.540957601899726,13.813,0.2748700957835334
4.683371614343243,13.748,0.2779068057416441
4.8302520307302155,13.684,0.28092376643526995
4.981738926913054,13.618,0.28404727393923607
5.137976771818467,13.552,0.28729581518844693
5.299114565223572,13.484,0.29067700316177536
5.465305979852849,13.417,0.2941969151380973
5.636709507931746,13.349,0.2978596434400714
5.813488612336323,13.28,0.30166934590836025
5.995811882483384,13.212,0.30563000099912335
6.183853195109526,13.145,0.309744358357993
6.377791880092771,13.077,0.3140159015190814
6.577812891474513,13.011,0.31844772807639155
6.784106983845179,12.945,0.32304210665763433
6.996870894261601,12.879,0.3278020822889007
7.216307529869931,12.815,0.33273032340940306
7.442626161412554,12.752,0.33782877517221854
7.676042622803964,12.69,0.3431001307474718
7.916779516965564,12.63,0.34854686553987296
8.165066428116177,12.57,0.35417066402621455
8.421140140720162,12.512,0.3599738500682785
8.68524486530235,12.456,0.36595875752353074
8.957632471344864,12.401,0.37212707324746036
9.238562727488352,12.347,0.3784805964516551
9.528303549266155,12.295,0.3850214356431543
9.82713125460811,12.245,0.39175153915632127
