M,R
7.396,0.05595886977494876
11.349,0.23159531302270137
12.839,0.3684271556931282
13.644,0.47567881236104914
14.149,0.5632929043365513
14.498,0.6378562541680839
14.753,0.703030859767819
14.947,0.7609659532202816
15.1,0.8136386315602836
15.224,0.861918713751468
15.326,0.9068029064655267
15.413,0.9489124490775638
15.487,0.9885808706908495
15.551,1.0262780751129748
15.607,1.0621239253681611
15.656,1.0964674831547434
15.701,1.1295677887049946
15.741,1.1613649657683545
15.777,1.1921127927792514
15.81,1.2218647530005549
15.839,1.250573294378324
15.867,1.2786250753585726
15.893,1.3058939889863936
15.916,1.3323110562298084
15.938,1.35814464420028
15.958,1.3832792098456794
15.977,1.4078198819395151
15.995,1.431830943599371
16.012,1.45530718185015
16.027,1.4781433942362197
16.042,1.5005798813945128
16.055,1.5224286182081541
16.068,1.5438832926779151
16.081,1.5649577434845914
16.092,1.5854827917107044
16.103,1.605656152129009
16.113,1.625376940572713
16.122,1.6446676255117272
16.131,1.6636387291594248
16.14,1.6822900479166025
16.148,1.7005246037789903
16.155,1.7183622844803186
16.162,1.7359078517494164
16.169,1.7531625581658241
16.175,1.7700308546173225
16.18,1.7865267984068423
16.186,1.8028554498907245
16.191,1.8188165196064456
16.195,1.834415956984793
16.2,1.8498686693473643
16.204,1.8649747123701237
16.207,1.8797364208221525
16.211,1.894361818622884
16.214,1.9086577914359264
16.217,1.9227289138423052
16.219,1.9364761720773371
16.222,1.9501064546048306
16.224,1.9634236368291078
16.226,1.9765327243937783
16.227,1.9893347251870812
16.228,2.001934404479523
16.23,2.0144406324353445
16.231,2.0266540838685514
16.231,2.038577410591793
16.232,2.0504169108548775
16.232,2.061973399979911
16.232,2.0733534938903073
16.233,2.0846616233079507
16.232,2.09559492231888
16.232,2.106461799832661
16.232,2.1171652594240404
16.231,2.1276063978967263
16.23,2.137889470948563
16.229,2.1480169229349273
16.228,2.157991970195692
16.227,2.1678179562274753
16.226,2.1774972159552233
16.224,2.1869303503107806
16.223,2.19632318593893
16.221,2.205476177216074
16.219,2.2144937732021894
16.217,2.223378123862276
16.215,2.2321313441648853
16.213,2.2407556837813987
16.211,2.2492539741274338
16.209,2.2576283239702235
16.206,2.2657792383335025
16.204,2.2739116375375756
16.201,2.281824743520771
16.198,2.289622500972547
16.195,2.297306795476868
16.193,2.304980759325461
16.19,2.3124435092803597
16.187,2.319798467602459
16.184,2.327048056120207
16.18,2.3340928338261535
16.177,2.341136801186758
16.174,2.3480803732942808
16.17,2.354824205019357
16.167,2.3615722242395787
16.163,2.368123933580894
16.16,2.3746827983387386
16.156,2.3810484280715105
16.153,2.387424073628482
16.149,2.393609632940174
16.145,2.3997073688622943
16.141,2.405718662768606
16.137,2.4116448702601834
16.133,2.4174873630576994
16.129,2.423247841457371
16.125,2.4289276990074953
16.121,2.4345281930071145
16.117,2.440050552655352
16.113,2.445495985700282
16.109,2.450865852369117
16.105,2.45616146818362
16.1,2.4612838361333864
16.096,2.466434424269685
16.092,2.47151411829084
16.087,2.4764240202306174
16.083,2.4813651989896224
16.078,2.4861387739135994
16.074,2.49094558500598
16.069,2.4955869271634654
16.065,2.5002633845204327
16.06,2.504776620552124
16.056,2.509327085867383
16.051,2.513716484766962
16.046,2.518045368878247
16.042,2.522414067353682
16.037,2.5266245610754434
16.032,2.530777118485378
16.027,2.53487257491379
16.023,2.5390109668154515
16.018,2.542994678412693
16.013,2.546923762823391
16.008,2.550799032746029
16.003,2.554621324973779
15.998,2.55839141476961
15.994,2.562208890761179
15.989,2.565876776580515
15.984,2.569494687513962
15.979,2.57306337455515
15.974,2.5765836056421003
15.969,2.580056077392712
15.964,2.583481469677966
15.959,2.5868604516940734
15.954,2.590193679890352
15.949,2.5934818366301062
15.944,2.5967256160430265
15.939,2.5999256434135
15.934,2.6030825319697257
15.929,2.606196883202645
15.924,2.60926928881427
15.919,2.612300300968671
15.914,2.615290434195195
15.908,2.618142472778524
15.903,2.6210525853245423
15.898,2.6239234735942474
15.893,2.6267556737903037
15.888,2.6295497012711135
15.883,2.6323060458605814
15.878,2.635025212638416
15.873,2.6377077031343448
15.867,2.64025673958369
15.862,2.642867425463207
15.857,2.6454429000617434
15.852,2.6479837037094165
15.847,2.650490319313865
15.842,2.6529632033867223
15.837,2.655402806163412
15.831,2.6577127446347917
15.826,2.6600871750867254
15.821,2.6624296366703843
15.816,2.664740563644247
15.811,2.6670203690666625
15.806,2.669269458762493
15.8,2.6713917940668845
15.795,2.673580722718584
15.79,2.6757401093142064
15.785,2.6778702851231544
15.78,2.6799716173111867
15.774,2.6819483389347263
15.769,2.6839931563859825
15.764,2.686010218808941
15.759,2.6879998780251886
15.754,2.6899624440979424
15.749,2.6918981986178143
