M,R
14.605,0.20758254051886216
21.633,0.762931524687236
24.27,1.1777772798431296
25.616,1.4857320995837004
26.394,1.7228906987480346
26.873,1.9116188156063376
27.178,2.0660120533393473
27.375,2.1953202270944585
27.499,2.305340348049007
27.574,2.4004419140939586
27.615,2.4839046566856515
27.631,2.55782931708522
27.629,2.6239905216333463
27.613,2.68367626230318
27.587,2.7379146661613905
27.554,2.787701756797907
27.515,2.8334822090003318
27.472,2.8759561928959467
27.425,2.915360469636424
27.376,2.9522420731856203
27.326,2.986973413998036
27.274,3.0195462434053266
27.221,3.0503365969227323
27.168,3.0795512717137408
27.114,3.107227454816898
27.06,3.1335989466949363
27.006,3.15873169565451
26.953,3.182897918129434
26.899,3.2058664257457954
26.847,3.2281133240760993
26.794,3.2493224808525025
26.742,3.2697845612096357
26.691,3.289565763918032
26.64,3.3085865229657174
26.589,3.326865797776672
26.539,3.344589447387369
26.49,3.3617954052156866
26.442,3.378497564997128
26.394,3.3946057716167037
26.346,3.410153661629703
26.299,3.4252825378678478
26.253,3.4400174974412954
26.208,3.4543892131817633
26.163,3.468280645951307
26.118,3.481707877840639
26.074,3.494826778174842
26.031,3.507647772567565
25.988,3.520054373169396
25.946,3.5321945884158676
25.905,3.5440815630541906
25.864,3.55559832568069
25.823,3.566757785160146
25.783,3.5777014084327665
25.744,3.5884360062385325
25.705,3.598845383317869
25.666,3.608944435139019
25.628,3.6188655601600717
25.59,3.6284927024494404
25.553,3.637954909490622
25.517,3.647264019649665
25.48,3.6561848684455702
25.445,3.665084914923763
25.409,3.673610409571405
25.374,3.6820114893581017
25.34,3.690292668444451
25.305,3.698220348074451
25.272,3.7061586686042363
25.238,3.713758764416419
25.205,3.7212622444896457
25.172,3.728555122205333
25.14,3.7357613538668506
25.108,3.742769388433877
25.076,3.7495834742597043
25.045,3.756324171602118
25.014,3.7628799966747
24.984,3.7693724261662735
24.953,3.7755732111397666
24.923,3.7817175135134815
24.893,3.787693966196477
24.864,3.793622423534791
24.835,3.7993910011706853
24.806,3.805003003034241
24.777,3.810462062185614
24.749,3.81588648697383
24.721,3.8211652315344344
24.693,3.8263012737557967
24.666,3.831410572818287
24.639,3.8363836271323395
24.612,3.8412235571391498
24.585,3.8459330563327687
24.559,3.850626715545119
24.532,3.855083487463537
24.506,3.8595302768926323
24.481,3.8639688238555836
24.455,3.868178731170357
24.43,3.872384735696117
24.405,3.876478623872878
24.38,3.8804627633051445
24.355,3.8843393059239926
24.331,3.888220250972233
24.306,3.8918879589064503
24.282,3.8955645084580124
24.258,3.8991419585643623
24.235,3.9027312638555225
24.211,3.906115995356655
24.188,3.909516265056125
24.165,3.9128249771584342
24.142,3.9160438741467924
24.119,3.9191746471133713
24.097,3.9223268211756905
24.074,3.9252865379747037
24.052,3.9282708637567314
24.03,3.9311735388690945
24.008,3.933996074768064
23.987,3.9368468773203182
23.965,3.939513870382562
23.944,3.942211955736762
23.923,3.944835699546193
23.902,3.947386456154767
23.881,3.9498656731093336
23.86,3.9522749321497246
23.839,3.954615522221322
23.819,3.956994021131208
23.799,3.959305940950962
23.778,3.9614475743337567
23.758,3.963630397887726
23.739,3.9658550347750836
23.719,3.967913178768265
23.699,3.9699107101728925
23.68,3.9719528294174626
23.66,3.9738322953600114
23.641,3.9757581881053343
23.622,3.9776273992965137
23.603,3.979440907790043
23.584,3.9811996914601004
23.566,3.9830079366018096
23.547,3.984660220656965
23.529,3.986363499180678
23.51,3.987912932321241
23.492,3.9895147969069873
23.474,3.991067310942063
23.456,3.9925713986901
23.438,3.9940278838291947
23.421,3.9955394073001167
23.403,3.9969029270508973
23.385,3.9982212287520205
23.368,3.999596526176059
23.351,4.00092787340965
23.333,4.002114917143732
23.316,4.003360683384553
23.299,4.004564633764385
23.283,4.005828106958167
23.266,4.006950354228165
23.249,4.0080328135587795
23.232,4.009076125680671
23.216,4.010180995847285
23.2,4.01124772326247
23.183,4.012177228215468
23.167,4.0131698270875935
23.151,4.014126183220894
23.135,4.015046875075649
23.119,4.01593246973255
23.103,4.016783599699301
23.088,4.0176998258291805
23.072,4.018483636204631
