P0,R,M
0.9999999999999986,73.837,0.12260510217052331
1.0335989105568917,68.841,0.12265612702150365
1.068326707904391,64.311,0.12292144003877128
1.1042213214088108,60.204,0.1233746655898856
1.1413219548218358,56.481,0.12399454556031625
1.179669129098513,53.098,0.12476623445124221
1.2193047266538177,50.026,0.12567382452911574
1.2602720371062563,47.23,0.12671182123214506
1.3026158045583383,44.681,0.12786963472076204
1.3463822764656894,42.355,0.12914260078363435
1.391619254148041,40.228,0.1305270706695026
1.4383761449974115,38.281,0.13201856615568852
1.4867040164403484,36.495,0.13361475684453228
1.5366556517132959,34.853,0.13531574522846251
1.5882856075119551,33.344,0.1371166755394224
1.6416502735775444,31.953,0.13902089679842888
1.6968079342851752,30.669,0.14102601704427684
1.7538188323014434,29.483,0.1431323167043967
1.8127452343809343,28.384,0.14533888772931547
1.8736514993733269,27.367,0.14764877618262495
1.9366041485155598,26.422,0.1500606844395713
2.0016719380856354,25.545,0.15257563241951072
2.0689259344976176,24.728,0.15519484989420151
2.138439591919632,23.967,0.15792058727313832
2.2102888324998586,23.258,0.16075276668034336
2.284552129287921,22.596,0.16369304019964928
2.3613105919424173,21.978,0.16674334642250876
2.4406480553181353,21.399,0.16990584024681282
2.5226511710296156,20.857,0.17318018354432238
2.607409502091281,20.349,0.1765692440247392
2.6950156207372298,19.873,0.18007492680121154
2.7855652095278094,19.426,0.18369976753422373
2.8791571658531177,19.006,0.18744501338074174
2.9758937099478544,18.611,0.19131192850884005
3.0758804965352025,18.239,0.1953036244576496
3.1792267302219805,17.889,0.19942123602459452
3.286045284770793,17.56,0.2036677379412554
3.3964528263796954,17.249,0.20804582161906104
3.510569941103933,16.956,0.2125575716820509
3.6285212665587894,16.68,0.2172035163519818
3.7504356280476823,16.419,0.22198789182711579
3.876446179263828,16.172,0.22691264622952623
4.006690547719523,15.939,0.23197918598372272
4.141310985061486,15.719,0.2371921243691794
4.280454522436846,15.511,0.24255058488904607
4.424273131079034,15.314,0.24805978312882923
4.5729238882894245,15.128,0.25372154886470294
4.726569148995541,14.952,0.25953828467426704
4.885376723073596,14.785,0.26551098449272176
5.049520058628873,14.627,0.271644349831556
5.2191784314339635,14.478,0.2779393799385759
5.394537140732179,14.336,0.2843998646617474
5.5757877116194585,14.202,0.2910263589117461
5.763128104226383,14.075,0.29782362476637203
5.956762929928182,13.955,0.30479137658491334
6.156903674819455,13.841,0.3119341914763184
6.363768930697098,13.733,0.31925408489926127
6.577584633804326,13.631,0.32675172739198516
6.798584311595888,13.534,0.33443137504276993
7.027009337794695,13.442,0.34229327589201847
7.263109196017712,13.356,0.3503425629832787
7.507141752259632,13.274,0.3585786438898709
7.759373536531722,13.196,0.3670040707702126
8.020080033963145,13.123,0.3756211644673588
8.289545985683398,13.053,0.3844317623180537
8.568065699813596,12.988,0.3934387575976216
8.855943372907218,12.926,0.4026410927588639
9.153493422190406,12.867,0.4120432082979748
9.46104082896569,12.812,0.4216445905640407
9.778921493553188,12.76,0.4314473478274093
10.10748260215796,12.71,0.4414526636305107
10.44708300606322,12.664,0.4516610864099966
10.798093613564339,12.62,0.46207561103086825
11.160897795071445,12.579,0.47269477917809216
11.535891801822636,12.54,0.4835194371558163
11.923485198666071,12.503,0.49455209750053836
12.324101311382448,12.469,0.505791227463117
12.738177689037675,12.437,0.517237002727124
13.166166581869419,12.406,0.5288906739260676
13.608535435230802,12.378,0.5407508984047196
14.065767400129383,12.351,0.5528175488347333
14.538361860920395,12.326,0.5650907481470138
15.026834980729205,12.303,0.5775695672147534
15.531720265199862,12.281,0.5902518174940314
16.053569145184998,12.26,0.6031376630698125
16.59295157901291,12.241,0.6162255426860818
17.150456674991023,12.223,0.6295130664990334
17.726693334823853,12.207,0.6429988481195275
18.322290918650076,12.191,0.656681069200938
18.937899932423104,12.177,0.670556416422445
19.574192738387982,12.163,0.6846237868114334
20.231864289428394,12.151,0.698878348403518
20.9116328880881,12.139,0.7133190253072057
21.61424097109348,12.128,0.7279415017950381
22.340455920236383,12.118,0.7427418858039309
23.091070900500622,12.109,0.7577173219543417
23.866905726349337,12.1,0.7728627940755985
24.66880775711875,12.092,0.7881743687098415
25.49765282249528,12.084,0.8036478139930178
26.354346179089013,12.077,0.8192773021989747
27.239823499145526,12.07,0.8350587198881715
28.155051892478873,12.064,0.8509863727348311
29.10103096273885,12.058,0.8670546445554287
30.07879389916929,12.052,0.8832573629235386
31.089408605046593,12.046,0.8995887443749391
32.133978864034255,12.041,0.9160430250062888
33.21364554572404,12.036,0.9326127633413713
34.32958785168305,12.031,0.9492911799971505
35.48302460336676,12.026,0.966072107846473
36.675215573303184,12.022,0.9829475108889257
37.90746286100537,12.017,0.9999105002908049
39.1811123151109,12.012,1.0169534762823085
40.49755500330589,12.008,1.0340680719438686
41.85822873163468,12.003,1.051246589985405
43.26461961485885,11.998,1.068481118477405
44.71826369957633,11.993,1.0857633146242476
46.22074864187796,11.988,1.1030844346689501
47.773715441368886,11.983,1.12043609675852
49.37886023345391,11.977,1.1378092651757776
51.037936141839054,11.972,1.1551954516995406
52.75275519327694,11.966,1.172585449493817
54.525190296645526,11.96,1.1899703844205436
56.3571772885199,11.953,1.2073408005930786
58.250717047475845,11.946,1.2246877757549397
60.20787767942866,11.939,1.2420021442955345
62.230796776400155,11.932,1.2592740825319142
64.32168375117439,11.924,1.2764950125563728
66.48282225039885,11.916,1.29365516253702
68.7165726487596,11.907,1.310745055712432
71.02537462696151,11.898,1.3277555257655398
73.41174983632263,11.888,1.344677419806838
