-6.6966767117898974e-08,0.0000000000000000e+00,0.0000000000000000e+00,9.4586665270956322e-04
4.7275781504877020e-04,5.0167223114741977e-01,0.0000000000000000e+00,9.3575707002829204e-04
9.3543732221838490e-04,1.0033444622948395e+00,0.0000000000000000e+00,9.0542082332710776e-04
1.3778243988998187e-03,1.5050166934422593e+00,0.0000000000000000e+00,8.5485791225841539e-04
1.7898295995598178e-03,2.0066889245896791e+00,0.0000000000000000e+00,7.8545490224361803e-04
2.1684236415040335e-03,2.5083611557370986e+00,0.0000000000000000e+00,7.2796315373464902e-04
2.5243308564401167e-03,3.0100333868845186e+00,0.0000000000000000e+00,6.9501008349714716e-04
2.8698616178459220e-03,3.5117056180319381e+00,0.0000000000000000e+00,6.8659569153111224e-04
3.2170075952716714e-03,4.0133778491793581e+00,0.0000000000000000e+00,6.9885790287064803e-04
3.5702008082493337e-03,4.5150500803267777e+00,0.0000000000000000e+00,7.0800906911164707e-04
3.9261839076326615e-03,5.0167223114741972e+00,0.0000000000000000e+00,7.0998025022196254e-04
4.2813548942615392e-03,5.5183945426216177e+00,0.0000000000000000e+00,7.0477144620159442e-04
4.6324848607453926e-03,6.0200667737690372e+00,0.0000000000000000e+00,6.9541137466184880e-04
4.9797410185771157e-03,6.5217390049164568e+00,0.0000000000000000e+00,6.8964700145043465e-04
5.3251043808893762e-03,7.0234112360638763e+00,0.0000000000000000e+00,6.8786542971235789e-04
5.6705730085835192e-03,7.5250834672112967e+00,0.0000000000000000e+00,6.9006665944761850e-04
6.0179578225811490e-03,8.0267556983587163e+00,0.0000000000000000e+00,6.9510749205994957e-04
6.3682722970115355e-03,8.5284279295061367e+00,0.0000000000000000e+00,7.0174571647486743e-04
6.7223175348459733e-03,9.0301001606535554e+00,0.0000000000000000e+00,7.0998080245035684e-04
7.0808957465446276e-03,9.5317723918009758e+00,0.0000000000000000e+00,7.1984283245021038e-04
7.4449927814050571e-03,1.0033444622948394e+01,0.0000000000000000e+00,7.3216304392706953e-04
7.8159813980067730e-03,1.0535116854095815e+01,0.0000000000000000e+00,7.4731727218757798e-04
8.1952833438727387e-03,1.1036789085243235e+01,0.0000000000000000e+00,7.6530551723173572e-04
8.5843174242573109e-03,1.1538461316390654e+01,0.0000000000000000e+00,7.8608966031626371e-04
8.9844207991930363e-03,1.2040133547538074e+01,0.0000000000000000e+00,8.0940185598928419e-04
9.3968403720159997e-03,1.2541805778685493e+01,0.0000000000000000e+00,8.3519023683839740e-04
9.8228183760682309e-03,1.3043478009832914e+01,0.0000000000000000e+00,8.6345480286360420e-04
1.0263592135022044e-02,1.3545150240980334e+01,0.0000000000000000e+00,8.9415374080825064e-04
1.0720348669044736e-02,1.4046822472127753e+01,0.0000000000000000e+00,9.2716677151989755e-04
1.1194245494867999e-02,1.4548494703275173e+01,0.0000000000000000e+00,9.6248637210166049e-04
1.1686439754544869e-02,1.5050166934422593e+01,0.0000000000000000e+00,1.0001125425535377e-03
1.2198171537264666e-02,1.5551839165570012e+01,0.0000000000000000e+00,1.0405717027514739e-03
1.2731075604022719e-02,1.6053511396717433e+01,0.0000000000000000e+00,1.0845212839025037e-03
1.3286903974697796e-02,1.6555183627864853e+01,0.0000000000000000e+00,1.1319632627929460e-03
1.3867406358178467e-02,1.7056855859012273e+01,0.0000000000000000e+00,1.1828210336318860e-03
1.4473702531486332e-02,1.7558528090159690e+01,0.0000000000000000e+00,1.2340899955517962e-03
1.5105433324948122e-02,1.8060200321307111e+01,0.0000000000000000e+00,1.2842203879304091e-03
1.5762027549841739e-02,1.8561872552454531e+01,0.0000000000000000e+00,1.3332122107677195e-03
1.6443016742807154e-02,1.9063544783601952e+01,0.0000000000000000e+00,1.3825245321150148e-03
1.7151471281765671e-02,1.9565217014749372e+01,0.0000000000000000e+00,1.4444016255874687e-03
1.7894811664983148e-02,2.0066889245896789e+01,0.0000000000000000e+00,1.5216027672374753e-03
1.8680725541899042e-02,2.0568561477044209e+01,0.0000000000000000e+00,1.6141279570650348e-03
1.9514641787412041e-02,2.1070233708191630e+01,0.0000000000000000e+00,1.7015006557228526e-03
2.0375051547043301e-02,2.1571905939339050e+01,0.0000000000000000e+00,1.7155347578754199e-03
2.1222738607774818e-02,2.2073578170486471e+01,0.0000000000000000e+00,1.6507794951330472e-03
2.2018176533129066e-02,2.2575250401633888e+01,0.0000000000000000e+00,1.5072348674957346e-03
2.2725821493258393e-02,2.3076922632781308e+01,0.0000000000000000e+00,1.3114668560840516e-03
2.3331903195881534e-02,2.3578594863928728e+01,0.0000000000000000e+00,1.1026657654520499e-03
2.3830054869357832e-02,2.4080267095076149e+01,0.0000000000000000e+00,8.8118579827072170e-04
2.4213931194579496e-02,2.4581939326223569e+01,0.0000000000000000e+00,6.4774610870848084e-04
2.4487742836234637e-02,2.5083611557370986e+01,0.0000000000000000e+00,4.5650574539933542e-04
2.4684662122409006e-02,2.5585283788518407e+01,0.0000000000000000e+00,3.4120191229198606e-04
2.4842784301634523e-02,2.6086956019665827e+01,0.0000000000000000e+00,3.0183460938643276e-04
2.4999975985784552e-02,2.6588628250813247e+01,0.0000000000000000e+00,3.3453728713302329e-04
2.5182193395652430e-02,2.7090300481960668e+01,0.0000000000000000e+00,3.9425134108337333e-04
2.5397902280445733e-02,2.7591972713108088e+01,0.0000000000000000e+00,4.6805663640546100e-04
2.5654171824663060e-02,2.8093644944255505e+01,0.0000000000000000e+00,5.5595317309928630e-04
2.5958447410257542e-02,2.8595317175402926e+01,0.0000000000000000e+00,6.6183026449291756e-04
