P0,R,M
0.9999999999999986,18.698,0.111849049917431
1.0307404143778236,18.304,0.11469962038172767
1.062425801831773,17.94,0.1176195984792657
1.095085211225775,17.603,0.12061037940638498
1.1287485843978835,17.29,0.12367338020227167
1.163446783610658,17.0,0.12681004053048467
1.1992116198454017,16.73,0.1300218209049388
1.2360758819661524,16.478,0.13331020223370343
1.2740733667802275,16.243,0.13667668331146504
1.3132389100228072,16.023,0.14012277994015745
1.3536084182939918,15.818,0.1436500189136415
1.3952189019776617,15.626,0.14725994005936746
1.438108509172229,15.447,0.15095411031309486
1.4823165606644653,15.278,0.1547341303924249
1.5278835859784035,15.12,0.1586016372807432
1.5748513605324572,14.972,0.16255830160315757
1.6232629439387123,14.832,0.16660582446591832
1.6731627194795569,14.701,0.1707459166893633
1.7245964347978873,14.578,0.1749802827808516
1.777611243838094,14.463,0.17931062955436539
1.832255750076365,14.354,0.1837386684042537
1.8885800510798652,14.251,0.18826611270145424
1.9466357844357547,14.155,0.1928946490342528
2.0064761750920197,14.065,0.1976259341873721
2.068156084153582,13.98,0.20246160942956543
2.1317320591784834,13.9,0.20740328848659925
2.1972623860201246,13.824,0.21245256777687674
2.2648071422632,13.754,0.2176110874637747
2.334428252302229,13.687,0.22288047658915083
2.406189544113302,13.625,0.2282623205822029
2.4801568077709435,13.566,0.23375803894139763
2.5563978557638065,13.511,0.23936890651169357
2.6349825851645696,13.46,0.2450960373909198
2.7159830417108815,13.411,0.25094049514125155
2.79947348585623,13.366,0.2569033413855817
2.8855304608511854,13.324,0.26298560085562056
2.974232862917588,13.284,0.2691882899454097
3.0656620135798307,13.248,0.27551258436579984
3.1599017342196323,13.213,0.2819598976067919
3.2570384229227525,13.181,0.28853186756378174
3.357161133687896,13.152,0.2952302439812576
3.4603616580706036,13.124,0.3020567250744129
3.566734609336832,13.099,0.30901299314802505
3.676377509203576,13.075,0.31610074578041975
3.789390877245825,13.054,0.32332163982873263
3.905878323051912,13.034,0.330666749230682
4.025946641211892,13.016,0.33808522257600027
4.1497059092257595,12.999,0.3455696123926083
4.277269588421484,12.984,0.3531228032749635
4.408754627975231,12.97,0.3607459111060369
4.544281572129344,12.957,0.36843979269389915
4.683974670706132,12.945,0.37620709866380775
4.827961993018874,12.934,0.38404735929569495
