P0,R,M
0.9999999999999986,17.725,0.11186482256525095
1.0325918492841053,17.375,0.11488727315131295
1.066245927207974,17.051,0.11798713996133836
1.1009968537673291,16.752,0.12116715455680845
1.1368803772875897,16.474,0.12442792145420489
1.1739334111982054,16.216,0.12777225880877274
1.2121940720055593,15.977,0.1312008202822199
1.2517017185034522,15.754,0.13471640426543016
1.2924969922615743,15.547,0.1383198857944204
1.334621859433525,15.353,0.142013771959401
1.3781196539274618,15.172,0.14579950347842802
1.4230351219837312,15.004,0.1496789196698273
1.4694144682054158,14.846,0.15365437231546908
1.5173054030890527,14.698,0.15772699744012972
1.5667571921044976,14.56,0.16189971298508948
1.6178207063743582,14.431,0.16617362818711243
1.6705484750052184,14.31,0.17055132209482096
1.7249947391243832,14.197,0.17503485023787527
1.7812155076778087,14.091,0.1796257195295519
1.8392686150465578,13.991,0.1843267509530303
1.8992137805411433,13.898,0.18913924163770557
1.9611126698348391,13.811,0.19406545357940408
2.025028958399256,13.729,0.19910774522287872
2.0910283970073564,13.652,0.2042673399766145
2.1591788793714075,13.581,0.2095465976416241
2.2295505119853076,13.514,0.21494762794594796
2.3022156862432444,13.451,0.2204717622271288
2.377249152908791,13.393,0.22612132278574548
2.454728099011165,13.338,0.23189824751534607
2.534732227247599,13.287,0.2378036162404171
2.6173438379736305,13.24,0.24383905716157
2.7026479138655533,13.196,0.2500060823740422
2.790732207342265,13.155,0.2563057001366336
2.881687330836267,13.117,0.26273904286487265
2.975606850006814,13.082,0.2693075056286533
3.072587379990992,13.049,0.2760126488467925
3.1727286847919074,13.019,0.2828559769390426
3.276133779906008,12.992,0.2898392915916208
3.382909038295288,12.966,0.2969647881500445
3.493164299813251,12.943,0.3042345658768402
3.6070129841973873,12.922,0.3116506989383416
3.724572207744165,12.903,0.3192149878544557
3.8459629037867495,12.885,0.32692934353763536
3.9713099470992335,12.87,0.3347957103297365
4.100742282355567,12.856,0.3428159719856733
4.234393056775064,12.843,0.35099201987255435
4.372399757091161,12.832,0.3593257306499758
4.514904350984141,12.823,0.3678189214557459
4.6620534331235755,12.814,0.3764733182195691
4.8139983759703915,12.807,0.3852907183478852
4.970895485493972,12.802,0.3942728821839122
5.132906161964239,12.797,0.4034215271189787
5.30019706598444,12.794,0.4127383228894996
5.472940289935071,12.791,0.42222486684151317
5.651313535005571,12.79,0.4318826846444988
5.835500293995706,12.789,0.44171323020602077
6.025690040074976,12.79,0.4517178908498852
6.222078421693844,12.791,0.46189798296001977
6.4248674638476055,12.793,0.4722547552673965
6.6342657758996895,12.796,0.48278939335291376
6.85048876617852,12.799,0.49350299936662684
7.073758863568278,12.803,0.504396587617921
7.304305746321837,12.808,0.5154710703706106
7.542366578330994,12.813,0.5267272433962025
7.788186253097443,12.819,0.5381657700262764
8.042017645654948,12.826,0.5497871835383541
8.304121872702291,12.832,0.5615918965507604
8.57476856121426,12.84,0.5735801873345294
8.854236125807454,12.848,0.5857522113557599
9.142812055145663,12.856,0.5981080161711648
9.44079320767992,12.864,0.6106475607359853
9.748486117027046,12.873,0.62337058141557
10.066207307301399,12.882,0.6362766510977174
10.394283618723541,12.891,0.6493651686197366
10.733052543841278,12.901,0.6626353597739941
11.082862574708553,12.911,0.6760864032224858
11.444073561379923,12.921,0.6897173070439736
11.81705708208865,12.931,0.7035267602928318
12.202196825489816,12.941,0.7175132467980656
12.599888985361186,12.951,0.7316752210923086
13.01054266816856,12.962,0.7460109844215472
13.43458031391395,12.972,0.7605184135064974
13.87243813070031,12.983,0.775195266673212
14.324566543459195,12.993,0.7900393421664559
14.791430657303776,13.004,0.8050478793218871
15.27351073598294,13.014,0.820218068522424
15.77130269592934,13.024,0.8355470255682113
16.285318616409096,13.035,0.8510313103244945
16.816087266298762,13.045,0.8666676859943419
17.36415464803036,13.055,0.8824523138983157
17.930084559264955,13.064,0.8983814376873399
18.51445917287181,13.074,0.9144508690768356
19.117879635810798,13.083,0.9306563872508201
19.74096668753284,13.092,0.9469933858916735
20.38436129853556,13.101,0.963457241389085
21.04872532973021,13.11,0.9800428411559444
21.73474221329934,13.118,0.9967451474528255
22.443117655744107,13.126,1.0135586238333625
23.174580363845685,13.134,1.030477721356417
23.929882794286566,13.142,1.047496699103684
24.709801927704294,13.149,1.06460943842652
25.51514006797217,13.155,1.0818097708499903
26.346725667530485,13.161,1.0990913106918503
27.20541417961635,13.167,1.1164474131778337
28.092088938270113,13.173,1.1338712523821282
29.007662067021936,13.178,1.1513558742663814
29.95307541719473,13.182,1.1688941328945408
30.929301536787428,13.186,1.1864787079046415
31.937344670937097,13.19,1.204102112013426
32.97824179498685,13.193,1.2217566995548697
34.053063681224025,13.195,1.2394346795882674
35.16291600038457,13.197,1.2571281296020878
36.30894045905881,13.199,1.274828997911153
37.49231597416607,13.2,1.2925291189406085
38.71425988570834,13.2,1.3102202128862899
39.976029209049095,13.2,1.3278938998247574
41.27892192800748,13.199,1.3455417110550343
42.624278330095514,13.198,1.3631550955014706
44.01348238527397,13.195,1.38072543214043
45.44796316964351,13.193,1.3982440379928325
46.92919633553817,13.189,1.4157022136892918
48.45870562953029,13.186,1.4330912203013293
50.03806445991103,13.181,1.4504022652035025
51.668897515256866,13.176,1.4676265832813844
53.35288243575009,13.17,1.4847554150493587
55.09175153896873,13.163,1.5017799753013712
56.88729360192446,13.156,1.5186915721936793
58.741355701179124,13.148,1.5354814907502552
60.65584511293607,13.14,1.552141127792731
62.63273127505701,13.13,1.5686619081942348
64.67404781302587,13.12,1.5850353484393505
66.78189463194113,13.11,1.601253073138345
68.95844007669247,13.098,1.6173067892419364
71.20592316253914,13.086,1.6331883248945789
73.52665587838857,13.074,1.6488896443322651
75.9230255651414,13.06,1.664402846526764
78.3974973715539,13.046,1.6797201888573994
80.95261679013875,13.031,1.6948340821126857
83.5910122757173,13.016,1.7097371154994934
86.31539794931341,13.0,1.7244220627166524
89.12857639017513,12.983,1.7388818893893752
92.03344151879074,12.965,1.753109764607625
95.03298157386917,12.947,1.7670990703951246
98.13028218634402,12.928,1.7808432590373684
101.32852955356823,12.908,1.7943363671325925
104.6310137169583,12.888,1.8075744744124282
108.0411319464651,12.867,1.8205411653358694
111.5623922353486,12.845,1.8332111746287965
115.19841690885751,12.823,1.845565289913305
118.95294635051869,12.8,1.8575932970909237
122.8298428498757,12.776,1.8692896762932263
126.83309457562937,12.752,1.88065044262708
130.96681967827516,12.727,1.8916729818355298
135.23527052644832,12.701,1.9023552295010073
139.64283808134223,12.675,1.912694548270881
144.19405641369428,12.648,1.9226895034064746
148.8936073679934,12.62,1.9323400591752544
153.74632537869806,12.592,1.9416468672663536
158.7572024434264,12.563,1.9506111196566074
163.931393258229,12.534,1.9592344214960542
169.27422052023485,12.504,1.9675187211081238
174.79118040311502,12.473,1.975466239587055
180.48794821100512,12.442,1.9830792856689243
186.3703842166959,12.41,1.990360627498552
192.44453969010755,12.378,1.9973132256557649
198.71666312323683,12.349,2.002622367578392
205.19320665799074,12.32,2.0058763929060914
211.88083272351062,12.289,2.008540692972419
218.78642088982633,12.256,2.010774100710096
225.9170749448767,12.222,2.0126676808112607
233.28013020218728,12.186,2.0142755734684705
240.88316104671378,12.15,2.015634487222461
248.73398872662753,12.112,2.016768730647848
256.8406893990405,12.073,2.0177064291213758
265.2116024379611,12.034,2.0184569553890634
273.8553390130156,11.994,2.019034078567117
282.7807909477758,11.953,2.0194415480971526
291.99713986678626,11.912,2.0196935566066623
301.51386664071595,11.87,2.01978675621124
311.34076113933844,11.828,2.0197346118361033
321.4879323023909,11.785,2.019533599039336
331.96581853864956,11.742,2.019190908098174
342.7851984639376,11.698,2.0187076629352276
353.9572019890969,11.654,2.018085724905659
365.4933217693498,11.61,2.017328293996362
377.405425026804,11.566,2.016437350045717
389.7057657582833,11.521,2.0154021340329926
402.4069973410247,11.476,2.0142371785679596
415.52218554923337,11.431,2.0129426125290006
429.06482199485674,11.386,2.0115116229800294
443.0488380064268,11.34,2.0099433644584246
457.488618960231,11.295,2.0082520690106263
472.39901907857706,11.249,2.0064247432611295
487.795376710346,11.204,2.0044670361533514
503.6935301095755,11.158,2.002371880252326
520.1098337282865,11.113,2.000154728682333
537.0611750403408,11.067,1.997800457196362
554.5649919136009,11.021,1.995322031309383
572.6392905482929,10.975,1.9927077486581901
591.3026640000008,10.93,1.9899699526447854
